,Match_Id,Team_Batting_Id,Striker_Id,Runs_Scored
0,335987,1,1,10
1,335987,1,2,158
2,335987,1,3,20
3,335987,1,4,12
4,335987,1,5,5
5,335987,2,6,2
6,335987,2,7,6
7,335987,2,8,1
8,335987,2,9,8
9,335987,2,10,6
10,335987,2,11,7
11,335987,2,12,0
12,335987,2,13,9
13,335987,2,14,18
14,335987,2,15,3
15,335987,2,16,3
16,335988,3,17,15
17,335988,3,18,25
18,335988,3,19,116
19,335988,3,20,2
20,335988,3,21,32
21,335988,3,22,13
22,335988,3,23,31
23,335988,4,24,24
24,335988,4,25,71
25,335988,4,26,54
26,335988,4,27,23
27,335988,4,28,21
28,335988,4,29,3
29,335989,5,30,7
30,335989,5,31,10
31,335989,5,32,17
32,335989,5,33,9
33,335989,5,34,1
34,335989,5,35,29
35,335989,5,36,2
36,335989,5,37,26
37,335989,5,38,14
38,335989,5,39,3
39,335989,6,40,58
40,335989,6,41,12
41,335989,6,42,52
42,335990,2,6,32
43,335990,2,8,23
44,335990,2,9,25
45,335990,2,11,39
46,335990,2,12,3
47,335990,2,51,16
48,335990,2,52,23
49,335990,7,43,8
50,335990,7,44,29
51,335990,7,45,0
52,335990,7,46,48
53,335990,7,47,19
54,335990,7,48,20
55,335990,7,49,28
56,335990,7,50,2
57,335991,1,1,14
58,335991,1,2,5
59,335991,1,3,0
60,335991,1,4,38
61,335991,1,5,13
62,335991,1,62,10
63,335991,1,63,4
64,335991,8,53,23
65,335991,8,54,14
66,335991,8,55,0
67,335991,8,56,32
68,335991,8,57,0
69,335991,8,58,6
70,335991,8,59,14
71,335991,8,60,0
72,335991,8,61,1
73,335991,8,232,10
74,335992,4,24,26
75,335992,4,25,16
76,335992,4,26,20
77,335992,4,27,57
78,335992,4,29,12
79,335992,4,64,2
80,335992,4,65,4
81,335992,4,66,0
82,335992,4,67,24
83,335992,4,68,1
84,335992,5,31,7
85,335992,5,32,76
86,335992,5,33,5
87,335992,5,34,17
88,335992,5,35,36
89,335992,5,69,15
90,335993,6,40,12
91,335993,6,41,94
92,335993,6,42,25
93,335993,8,53,8
94,335993,8,54,14
95,335993,8,55,2
96,335993,8,56,12
97,335993,8,57,66
98,335993,8,59,8
99,335993,8,60,12
100,335993,8,61,1
101,335993,8,70,2
102,335993,8,232,12
103,335994,3,17,14
